query,rank,chunk_id,score,source,document_id,page,section,text
What is the recommended treatment for H. pylori infection?,1,ACG_0072,0.7101,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,17,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"5. In treatment-experienced patients with persistent H. pylori infection that is confirmed to be clarithromycin-sensitive, PPI- or PCAB-clarithromycin triple therapy is suggested. As the recommendations of this guideline for the first-line treatment of H. pylori infection are incorporated into clinical practice, a larger proportion of treatment-experienced patients with persistent H. pylori infection will have previously been treated with BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. If, related to previous use, high cost, or a lack of availability, treatment regimens containing clarithromycin or levofloxacin need to be considered, antibiotic susceptibility testing (see Key concept 6) should be performed. Here, we discuss clarithromycin triple therapy as salvage therapy, whereas quinolone-based salvage therapy is discussed below. There are no RCTs or robust observational data from North America that evaluate clarithromycin triple therapy as salvage therapy after BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. Thus, the guideline panel used expert consensus to suggest PPI- or PCAB-clarithromycin triple salvage therapy in patients with persistent H. pylori infection confirmed to be sensitive to clarithromycin by antibiotic susceptibility testing. As noted above, the bactericidal activity of clarithromycin and amoxicillin on susceptible H. pylori strains is critically dependent on achieving and maintaining adequate gastric acid suppression (intragastric pH .6)."
What is the recommended treatment for H. pylori infection?,2,ACG_0005,0.7006,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,2,INTRODUCTION,"In some instances, key concepts are based on extrapolation of evidence and/or expert consensus. This guideline used GRADE methodology to evaluate treatment options for patients with H. pylori infection. We summarize treatment recommendations for patients with active H. pylori infection, as confirmed by a nonserological test, who have not been previously treated (i.e., ""treatment-naive"" patients) and those with persistent infection despite previous attempt(s) at eradication (i.e., ""treatment-experienced"" patients). Readers will notice substantial changes from the recommendations offered in the 2017 ACG CPG (6). These changes were largely motivated by important new data from North America including: 1. Rising rates of resistance to key antibiotics used to treat H. pylori, including clarithromycin and levofloxacin. This has led to reduced effectiveness of commonly used treatment regimens that contain these antibiotics. 2. Studies that have been conducted with novel treatment regimens featuring new antibiotic options (i.e., rifabutin) or more potent, next-generation gastric acid-suppressing agents (i.e., potassium-competitive acid blockers; PCABs) in treatment-naive individuals. As in previous versions, recommendations were based on the current, best available evidence with prioritization of evidence from studies conducted in North America. When unavailable, recommendations were based on studies conducted in other parts of the world and expert consensus."
What is the recommended treatment for H. pylori infection?,3,ACG_0001,0.6966,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,1,ABSTRACT,"Helicobacter pylori is a prevalent, global infectious disease that causes dyspepsia, peptic ulcer disease, and gastric cancer. The American College of Gastroenterology commissioned this clinical practice guideline (CPG) to inform the evidence-based management of patients with H. pylori infection in North America. This CPG used Grading of Recommendations, Assessment, Development, and Evaluation (GRADE) methodology to systematically analyze 11 Population, Intervention, Comparison, and Outcome questions and generate recommendations. Where evidence was insufficient or the topic did not lend itself to GRADE, expert consensus was used to create 6 key concepts. For treatment-naive patients with H. pylori infection, bismuth quadruple therapy (BQT) for 14 days is the preferred regimen when antibiotic susceptibility is unknown. Rifabutin triple therapy or potassium-competitive acid blocker dual therapy for 14 days is a suitable empiric alternative in patients without penicillin allergy. In treatment-experienced patients with persistent H. pylori infection, ""optimized"" BQT for 14 days is preferred for those who have not been treated with optimized BQT previously and for whom antibiotic susceptibility is unknown. In patients previously treated with optimized BQT, rifabutin triple therapy for 14 days is a suitable empiric alternative."
What is the recommended treatment for H. pylori infection?,4,ACG_0055,0.6889,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,POST-TREATMENT TESTING FOR CURE,"Results will inform clinicians either to consider an alternative treatment for H. pylori in those with persistent infection or a different dyspepsia treatment strategy in those with successful eradication. A negative post-treatment test result should be reassuring to patients and providers alike as a meta-analysis reported recurrence rates of 1% (95% CI 0.3%-3%) per year for persons in the United States who are successfully eradicated of their H. pylori infection. Thus, with the exception of Alaskan natives who have an H. pylori recurrence rate of more than 8%, recurrence of H. pylori infection after an evidence-based treatment regimen is quite rare in the United States (105). An added benefit of routinely testing for cure is the ability of providers to monitor their local treatment results and to change their approach if results with certain regimens are suboptimal (e.g., if under 85%). Low eradication rates in first-line therapy should prompt consideration of testing for resistance and/or adopting a different empiric regimen. It is encouraging that the recommendation for routine post-treatment test of cure in the 2017 ACG guideline has been accompanied by improved rates of post-treatment testing in clinical practice in the United States, from under 25% in 2005 to 60%-80%by 2019 (57,60,106). Nevertheless, these improvements should not discourage healthcare providers from further attempts at improving adherence to the recommendation for universal post-treatment testing."
What is the recommended treatment for H. pylori infection?,5,ACG_0019,0.6867,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,5,INDICATIONS FOR HELICOBACTER PYLORI TESTING AND TREATMENT,"In patients with functional dyspepsia, eradication of H. pylori infection only provides modest benefit. A recent meta-analysis identified 29 RCTs including 6,781 H. pylori-positive patients with functional dyspepsia (26). They reported that treatment of H. pylori was superior to control (PPI, prokinetics, or placebo) for symptom cure (RR of symptoms not being cured 5 0.91; 95% CI 0.88-0.94, number needed to treat [NNT] 5 14; 95% CI 11-21) and symptom improvement (RR 0.84; 95% CI 0.78-0.91, NNT 5 9; 95% CI 7-17). The impact on symptoms was larger in patients with successful cure of H. pylori than in those who were not successfully cured of their infection (RR 0.65; 95% CI 0.52-0.82, NNT 5 4.5, 95% CI 3-9). Overall adverse events (RR 2.19; 95% CI 1.10-4.37) and adverse events leading to withdrawal (RR 2.60; 95% CI 1.47-4.58) were reported more commonly with antibiotic therapy for H. pylori. Although clinical benefits of H. pylori treatment are modest, it bears emphasizing that eradication of H. pylori is one of the only potentially curative treatments for patients with functional dyspepsia (25), and reduces the risk of other downstream complications of chronic H. pylori infection. In both uninvestigated and functional dyspepsia, benefits range from symptomrelief to decreased healthcare utilization."
When should eradication of H. pylori be confirmed?,1,ACG_0029,0.6713,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,6,INDICATIONS FOR HELICOBACTER PYLORI TESTING AND TREATMENT,"After successful eradication of H. pylori infection, complete remission of the gastric MALT lymphoma was reported in 75.2% (95% CI 70.5-79.9) (50). CPGs recommend eradication of H. pylori as the primary treatment for early stage gastric MALT lymphoma (6,51,52) despite the lack of high-quality RCTs; instead, this recommendation considers the strong potential for benefit and negligible risk of H. pylori eradication treatment, especially when compared with other treatments for MALT lymphoma. With the exception of gastric fundic gland polyps, most gastric epithelial polyps arise in the setting of inflammatory conditions (e.g., H. pylori gastritis, autoimmune gastritis [AIG]), other insults, or—less often—polyposis syndromes. Unlike fundic gland polyps, which generally have no malignant potential, gastric hyperplastic polyps and adenomas often arise in a background of H. pylori-driven GPMC and can undergo malignant transformation (53,54). In patients with suspected or confirmed gastric hyperplastic polyps or adenomas, systematic biopsies (e.g., according to the Sydney protocol) are indicated with an assessment for H. pylori and for GPMC in the surrounding mucosa. Histologic assessment not onlyenables the identification and treatment of H. pylori infection but also facilitates endoscopic planning, including polypectomy and/or GPMC surveillance. AIG is an immune-mediated chronic condition characterized by progressive inflammation and eventual atrophy (with or without metaplasia) of the gastric corpus as a result of autoantibody-mediated destruction of gastric parietal cells."
When should eradication of H. pylori be confirmed?,2,ACG_0053,0.661,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,POST-TREATMENT TESTING FOR CURE,"4. All patients who are treated for H. pylori infection should undergo a test of cure with an appropriately conducted urea breath test, fecal antigen test, or biopsy-based test at least 4 weeks after completion of therapy. Since H. pylori eradication rates with traditional treatment regimens have been declining in the United States over the past 2 decades, tests of cure are necessary to identify patients with persistent infection. The nonendoscopic urea breath test and fecal antigen test are both highly accurate for confirming treatment success when performed at least 4 weeks after the completion of therapy. Since PPIs can result in false-negative urea breath tests and fecal antigen tests, they should be stopped for 2 weeks before either test of cure is performed (99,100). Similar considerations will probably also apply to PCABs (such as vonoprazan), although, thus far, this has not been adequately studied (101). Standard doses of H2RAs or antacids do not affect the accuracy of these tests. Patients should also avoid bismuth and antibiotics for at least 4 weeks before a test of cure. Because antibody levels can remain detectable for months to years after successful eradication of H. pylori infection, serological testing should not be used to establish post-treatment status (102). In the rare situations when upper endoscopy is needed shortly after treating H. pylori infection (e.g., in patients with a large gastric ulcer or gastric MALT lymphoma), histology and/or a biopsy urease test can also be used to confirm post-treatment H. pylori status. Similar to urea breath testing and fecal antigen testing, the sensitivity of endoscopic tests for H. pylori is reduced by the recent use of PPIs (and possibly PCABs), bismuth, or antibiotics."
When should eradication of H. pylori be confirmed?,3,ACG_0055,0.6522,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,POST-TREATMENT TESTING FOR CURE,"Results will inform clinicians either to consider an alternative treatment for H. pylori in those with persistent infection or a different dyspepsia treatment strategy in those with successful eradication. A negative post-treatment test result should be reassuring to patients and providers alike as a meta-analysis reported recurrence rates of 1% (95% CI 0.3%-3%) per year for persons in the United States who are successfully eradicated of their H. pylori infection. Thus, with the exception of Alaskan natives who have an H. pylori recurrence rate of more than 8%, recurrence of H. pylori infection after an evidence-based treatment regimen is quite rare in the United States (105). An added benefit of routinely testing for cure is the ability of providers to monitor their local treatment results and to change their approach if results with certain regimens are suboptimal (e.g., if under 85%). Low eradication rates in first-line therapy should prompt consideration of testing for resistance and/or adopting a different empiric regimen. It is encouraging that the recommendation for routine post-treatment test of cure in the 2017 ACG guideline has been accompanied by improved rates of post-treatment testing in clinical practice in the United States, from under 25% in 2005 to 60%-80%by 2019 (57,60,106). Nevertheless, these improvements should not discourage healthcare providers from further attempts at improving adherence to the recommendation for universal post-treatment testing."
When should eradication of H. pylori be confirmed?,4,ACG_0005,0.6003,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,2,INTRODUCTION,"In some instances, key concepts are based on extrapolation of evidence and/or expert consensus. This guideline used GRADE methodology to evaluate treatment options for patients with H. pylori infection. We summarize treatment recommendations for patients with active H. pylori infection, as confirmed by a nonserological test, who have not been previously treated (i.e., ""treatment-naive"" patients) and those with persistent infection despite previous attempt(s) at eradication (i.e., ""treatment-experienced"" patients). Readers will notice substantial changes from the recommendations offered in the 2017 ACG CPG (6). These changes were largely motivated by important new data from North America including: 1. Rising rates of resistance to key antibiotics used to treat H. pylori, including clarithromycin and levofloxacin. This has led to reduced effectiveness of commonly used treatment regimens that contain these antibiotics. 2. Studies that have been conducted with novel treatment regimens featuring new antibiotic options (i.e., rifabutin) or more potent, next-generation gastric acid-suppressing agents (i.e., potassium-competitive acid blockers; PCABs) in treatment-naive individuals. As in previous versions, recommendations were based on the current, best available evidence with prioritization of evidence from studies conducted in North America. When unavailable, recommendations were based on studies conducted in other parts of the world and expert consensus."
When should eradication of H. pylori be confirmed?,5,ACG_0017,0.5994,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,5,INDICATIONS FOR HELICOBACTER PYLORI TESTING AND TREATMENT,"2. The determination of when to test for—and treat—H. pylori should be viewed as a single, rather than 2 separate and distinct, decisions. Testing for, and treatment of, H. pylori infection should be viewed as dependent rather than independent actions. H. pylori infection is an infectious disease with the potential for serious clinical consequences, including gastric cancer. Therefore, all patients with an indication for testing should be offered effective treatment if confirmed to have active infection—and should subsequently undergo a test-of-cure after treatment. The indications to test for and treat H. pylori infection are summarized in Table 4. The detailed supporting evidence for many of the indications to test for H. pylori infection is reviewed in the previous guideline. Newer information regarding testing indications is briefly summarized herein."
